productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extNumber,extSubType,extOracleText,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extP,extT,extFlavorText
15023,Abundance,Abundance,https://tcgplayer-cdn.tcgplayer.com/product/15023_200w.jpg,1,1,https://cpt.tcgcsv.com/t08,2024-07-08T16:26:12.31,1,R,249,Enchantment,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",0.95,1.69,14.99,1.7,,Normal,,,
15023,Abundance,Abundance,https://tcgplayer-cdn.tcgplayer.com/product/15023_200w.jpg,1,1,https://cpt.tcgcsv.com/t08,2024-07-08T16:26:12.31,1,R,249,Enchantment,"If you would draw a card, you may instead choose land or nonland and reveal cards from the top of your library until you reveal a card of the chosen kind. Put that card into your hand and put all other cards revealed this way on the bottom of your library in any order.",58.14,67.25,120.0,48.22,64.6,Foil,,,
15024,Academy Researchers,Academy Researchers,https://tcgplayer-cdn.tcgplayer.com/product/15024_200w.jpg,1,1,https://cpt.tcgcsv.com/v08,2024-07-26T14:44:49.453,1,U,63,Creature — Human Wizard,"When Academy Researchers comes into play, you may put an Aura card from your hand into play attached to Academy Researchers.",0.05,0.3,4.99,0.16,,Normal,2,2,<em>They brandish their latest theories as warriors would wield weapons.</em>
15024,Academy Researchers,Academy Researchers,https://tcgplayer-cdn.tcgplayer.com/product/15024_200w.jpg,1,1,https://cpt.tcgcsv.com/v08,2024-07-26T14:44:49.453,1,U,63,Creature — Human Wizard,"When Academy Researchers comes into play, you may put an Aura card from your hand into play attached to Academy Researchers.",0.5,1.5,11.2,9.0,9.9,Foil,2,2,<em>They brandish their latest theories as warriors would wield weapons.</em>
15025,Adarkar Wastes,Adarkar Wastes,https://tcgplayer-cdn.tcgplayer.com/product/15025_200w.jpg,1,1,https://cpt.tcgcsv.com/w08,2024-07-08T16:27:27.58,1,R,347,Land,"T: Add 1 to your mana pool.
<br>
T: Add W or U to your mana pool. Adarkar Wastes deals 1 damage to you.",4.92,6.17,79.99,5.66,,Normal,,,
15025,Adarkar Wastes,Adarkar Wastes,https://tcgplayer-cdn.tcgplayer.com/product/15025_200w.jpg,1,1,https://cpt.tcgcsv.com/w08,2024-07-08T16:27:27.58,1,R,347,Land,"T: Add 1 to your mana pool.
<br>
T: Add W or U to your mana pool. Adarkar Wastes deals 1 damage to you.",30.0,36.94,38.79,30.9,24.78,Foil,,,
15026,Afflict,Afflict,https://tcgplayer-cdn.tcgplayer.com/product/15026_200w.jpg,1,1,https://cpt.tcgcsv.com/x08,2024-07-08T16:27:46.573,1,C,125,Instant,Target creature gets -1/-1 until end of turn. Draw a card.,0.01,0.24,4.28,0.06,0.03,Normal,,,"<em>One rarely notices a heartbeat, save when it is stolen.</em>"
15026,Afflict,Afflict,https://tcgplayer-cdn.tcgplayer.com/product/15026_200w.jpg,1,1,https://cpt.tcgcsv.com/x08,2024-07-08T16:27:46.573,1,C,125,Instant,Target creature gets -1/-1 until end of turn. Draw a card.,0.2,0.63,3.91,0.58,0.25,Foil,,,"<em>One rarely notices a heartbeat, save when it is stolen.</em>"
15027,Aggressive Urge,Aggressive Urge,https://tcgplayer-cdn.tcgplayer.com/product/15027_200w.jpg,1,1,https://cpt.tcgcsv.com/z08,2024-07-08T16:28:58.697,1,C,250,Instant,"Target creature gets +1/+1 until end of turn. 
<br>
Draw a card.",0.01,0.24,3.14,0.08,0.07,Normal,,,"<em>The power of the wild, concentrated in a single charge.</em>"
15027,Aggressive Urge,Aggressive Urge,https://tcgplayer-cdn.tcgplayer.com/product/15027_200w.jpg,1,1,https://cpt.tcgcsv.com/z08,2024-07-08T16:28:58.697,1,C,250,Instant,"Target creature gets +1/+1 until end of turn. 
<br>
Draw a card.",0.14,0.54,1.76,0.69,0.45,Foil,,,"<em>The power of the wild, concentrated in a single charge.</em>"
15028,Agonizing Memories,Agonizing Memories,https://tcgplayer-cdn.tcgplayer.com/product/15028_200w.jpg,1,1,https://cpt.tcgcsv.com/B08,2024-07-08T16:40:26.1,1,U,126,Sorcery,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,0.01,0.25,3.13,0.05,,Normal,,,"<em>In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.</em>"
15028,Agonizing Memories,Agonizing Memories,https://tcgplayer-cdn.tcgplayer.com/product/15028_200w.jpg,1,1,https://cpt.tcgcsv.com/B08,2024-07-08T16:40:26.1,1,U,126,Sorcery,Look at target player's hand and choose two cards from it. Put them on top of that player's library in any order.,0.3,0.64,0.99,0.57,0.61,Foil,,,"<em>In the aftermath of war, when the slaying is long done, the greatest miseries come home to roost.</em>"
15029,Air Elemental,Air Elemental,https://tcgplayer-cdn.tcgplayer.com/product/15029_200w.jpg,1,1,https://cpt.tcgcsv.com/C08,2024-07-08T16:40:55.617,1,U,64,Creature — Elemental,Flying <em>(This creature can't be blocked except by creatures with flying or reach.)</em>,0.01,0.25,4.99,0.1,0.1,Normal,4,4,"<em>“The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.”
<br>
—Joseph Conrad,</em>The Mirror of the Sea"
15029,Air Elemental,Air Elemental,https://tcgplayer-cdn.tcgplayer.com/product/15029_200w.jpg,1,1,https://cpt.tcgcsv.com/C08,2024-07-08T16:40:55.617,1,U,64,Creature — Elemental,Flying <em>(This creature can't be blocked except by creatures with flying or reach.)</em>,0.24,0.5,1.09,0.49,0.35,Foil,4,4,"<em>“The East Wind, an interloper in the dominions of Westerly Weather, is an impassive-faced tyrant with a sharp poniard held behind his back for a treacherous stab.”
<br>
—Joseph Conrad,</em>The Mirror of the Sea"
15030,Ambassador Laquatus,Ambassador Laquatus,https://tcgplayer-cdn.tcgplayer.com/product/15030_200w.jpg,1,1,https://cpt.tcgcsv.com/D08,2024-07-08T16:41:20.533,1,R,65,Legendary Creature — Merfolk Wizard,3: Target player puts the top three cards of his or her library into his or her graveyard.,0.74,1.19,9.04,1.19,,Normal,1,3,<em>“Life is a game. The only thing that matters is whether you're a pawn or a player.”</em>
15030,Ambassador Laquatus,Ambassador Laquatus,https://tcgplayer-cdn.tcgplayer.com/product/15030_200w.jpg,1,1,https://cpt.tcgcsv.com/D08,2024-07-08T16:41:20.533,1,R,65,Legendary Creature — Merfolk Wizard,3: Target player puts the top three cards of his or her library into his or her graveyard.,6.59,7.39,12.62,7.19,,Foil,1,3,<em>“Life is a game. The only thing that matters is whether you're a pawn or a player.”</em>
15031,Anaba Bodyguard,Anaba Bodyguard,https://tcgplayer-cdn.tcgplayer.com/product/15031_200w.jpg,1,1,https://cpt.tcgcsv.com/F08,2024-07-08T16:41:42.193,1,C,187,Creature — Minotaur,First strike <em>(This creature deals combat damage before creatures without first strike.)</em>,0.01,0.23,2.05,0.03,,Normal,2,3,"<em>“They who challenge a minotaur enjoy the taste of their own blood.”
<br>
—Mirri of the</em> Weatherlight"
15031,Anaba Bodyguard,Anaba Bodyguard,https://tcgplayer-cdn.tcgplayer.com/product/15031_200w.jpg,1,1,https://cpt.tcgcsv.com/F08,2024-07-08T16:41:42.193,1,C,187,Creature — Minotaur,First strike <em>(This creature deals combat damage before creatures without first strike.)</em>,0.25,0.49,3.01,0.43,,Foil,2,3,"<em>“They who challenge a minotaur enjoy the taste of their own blood.”
<br>
—Mirri of the</em> Weatherlight"
15032,Ancestor's Chosen,Ancestors Chosen,https://tcgplayer-cdn.tcgplayer.com/product/15032_200w.jpg,1,1,https://cpt.tcgcsv.com/G08,2024-07-08T16:41:59.487,1,U,1,Creature — Human Cleric,"First strike <em>(This creature deals combat damage before creatures without first strike.)</em>
<br>
When Ancestor's Chosen comes into play, you gain 1 life for each card in your graveyard.",0.01,0.25,3.03,0.1,,Normal,4,4,
15032,Ancestor's Chosen,Ancestors Chosen,https://tcgplayer-cdn.tcgplayer.com/product/15032_200w.jpg,1,1,https://cpt.tcgcsv.com/G08,2024-07-08T16:41:59.487,1,U,1,Creature — Human Cleric,"First strike <em>(This creature deals combat damage before creatures without first strike.)</em>
<br>
When Ancestor's Chosen comes into play, you gain 1 life for each card in your graveyard.",0.3,0.75,1.49,0.3,,Foil,4,4,
15033,Angel of Mercy,Angel of Mercy,https://tcgplayer-cdn.tcgplayer.com/product/15033_200w.jpg,1,1,https://cpt.tcgcsv.com/H08,2024-07-08T16:42:20.41,1,U,2,Creature — Angel,"Flying<em> (This creature can't be blocked except by creatures with flying or reach.)</em>
<br>
When Angel of Mercy comes into play, you gain 3 life.",0.01,0.25,3.19,0.09,0.07,Normal,3,3,<em>Every tear shed is a drop of immortality.</em>
15033,Angel of Mercy,Angel of Mercy,https://tcgplayer-cdn.tcgplayer.com/product/15033_200w.jpg,1,1,https://cpt.tcgcsv.com/H08,2024-07-08T16:42:20.41,1,U,2,Creature — Angel,"Flying<em> (This creature can't be blocked except by creatures with flying or reach.)</em>
<br>
When Angel of Mercy comes into play, you gain 3 life.",0.9,2.04,3.23,1.99,,Foil,3,3,<em>Every tear shed is a drop of immortality.</em>
15034,Angel's Feather,Angels Feather,https://tcgplayer-cdn.tcgplayer.com/product/15034_200w.jpg,1,1,https://cpt.tcgcsv.com/J08,2023-08-13T19:24:33.947,1,U,311,Artifact,"Whenever a player plays a white spell, you may gain 1 life.",0.09,0.25,2.06,0.2,,Normal,,,"<em>If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it.</em>"
15034,Angel's Feather,Angels Feather,https://tcgplayer-cdn.tcgplayer.com/product/15034_200w.jpg,1,1,https://cpt.tcgcsv.com/J08,2023-08-13T19:24:33.947,1,U,311,Artifact,"Whenever a player plays a white spell, you may gain 1 life.",0.43,0.98,7.66,2.38,,Foil,,,"<em>If taken, it cuts the hand that clutches it. If given, it heals the hand that holds it.</em>"
15035,Angelic Blessing,Angelic Blessing,https://tcgplayer-cdn.tcgplayer.com/product/15035_200w.jpg,1,1,https://cpt.tcgcsv.com/K08,2024-07-08T16:43:03.51,1,C,3,Sorcery,Target creature gets +3/+3 and gains flying until end of turn.<em> (It can't be blocked except by creatures with flying or reach.)</em>,0.01,0.25,3.13,0.17,,Normal,,,<em>Only the warrior who can admit mortal weakness will be bolstered by immortal strength.</em>
15035,Angelic Blessing,Angelic Blessing,https://tcgplayer-cdn.tcgplayer.com/product/15035_200w.jpg,1,1,https://cpt.tcgcsv.com/K08,2024-07-08T16:43:03.51,1,C,3,Sorcery,Target creature gets +3/+3 and gains flying until end of turn.<em> (It can't be blocked except by creatures with flying or reach.)</em>,0.36,0.5,1.15,0.4,0.43,Foil,,,<em>Only the warrior who can admit mortal weakness will be bolstered by immortal strength.</em>
15036,Angelic Chorus,Angelic Chorus,https://tcgplayer-cdn.tcgplayer.com/product/15036_200w.jpg,1,1,https://cpt.tcgcsv.com/L08,2024-07-08T16:44:22.087,1,R,4,Enchantment,"Whenever a creature comes into play under your control, you gain life equal to its toughness.",3.9,5.98,10.03,4.43,4.58,Normal,,,<em>The harmony of the glorious is a dirge to the wicked.</em>
15036,Angelic Chorus,Angelic Chorus,https://tcgplayer-cdn.tcgplayer.com/product/15036_200w.jpg,1,1,https://cpt.tcgcsv.com/L08,2024-07-08T16:44:22.087,1,R,4,Enchantment,"Whenever a creature comes into play under your control, you gain life equal to its toughness.",13.13,15.16,26.74,11.93,,Foil,,,<em>The harmony of the glorious is a dirge to the wicked.</em>
